label,path
guarding,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/guarding/yt-1WwUzQ1h25o_13
driving,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/driving/giphy-n0e8KG6J8Cz16_8
socializing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/socializing/0zf-on21pfI_135
injecting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/injecting/yt-V-sGVusCSc4_6
gripping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/gripping/zC89xi7jp7E_108
rolling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/rolling/getty-coil-of-steel-is-unrolled-in-the-tube-mill-at-the-manufacturing-of-video-id450975942_74
studying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/studying/getty-coloring-a-picture-video-id640942644_4
chopping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/chopping/vine-Lmao-to-much-fun-chopping-wood-MwP1ZKrParO_3
leaping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/leaping/giphy-13CaeE1OQ7EW1G_1
telephoning,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/telephoning/yt-ZUaFgvCiaVw_147
plugging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/plugging/yt-RVQib-vRE-0_10
stroking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/stroking/getty-girl-touching-tree-bush-video-id504092272_4
singing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/singing/e83ucUueVcM_9
squatting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/squatting/getty-two-marines-crouching-amid-gunfire-speaking-on-radios-a-group-of-in-video-idmr_00003921_1
discussing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/discussing/vine-Discussing-the-legal-issues-of-healthcare-in-social-media-M5I3Wqrlm1x_2
drawing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drawing/getty-close-up-of-a-woman-at-home-with-coloring-book-video-id685804764_11
waking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/waking/yt-xhztZdYrFzA_1
plunging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/plunging/getty-time-lapse-of-a-waterfall-in-the-middle-of-a-tropical-rainforest-video-id622933410_1
stacking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/stacking/yt-vNtlO1t9gGE_272
skiing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/skiing/yt-aJ0VZhSLnEY_2
tearing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/tearing/vb-mother-and-child-hands-tear-off-chamomile-petals-together-4k-4dcpxycqgikrevgs0_1
bending,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/bending/getty-major-league-baseball-game-angels-at-yankees-batter-gets-hit-and-runs-video-id659659183_1
ascending,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/ascending/getty-bubbles-in-the-water-video-id492180020_3
grilling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/grilling/getty-cooking-video-id679867154_2
leaking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/leaking/getty-water-flows-from-the-tap-video-id478788372_7
adult+male+speaking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/adult+male+speaking/yt-_qlNEmpxQxI_127
telephoning,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/telephoning/getty-angry-young-man-talking-on-the-phone-video-id473070137_2
winking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/winking/yt-PlHr5qEtWDw_8
digging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/digging/getty-grizzly-bear-forages-on-scree-slope-yellowstone-usa-video-id595897157_14
drinking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drinking/getty-red-deer-in-river-sierra-morena-andalusia-southern-spain-video-id141800243_4
removing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/removing/yt-oSAuWsSmvo0_104
queuing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/queuing/getty-heavy-smog-attack-beijing-on-nov-29-2014-video-id460006430_13
falling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/falling/giphy-l44dbOXOSR0s0_1
skating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/skating/yt-s75dvwGJcsU_46
dripping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/dripping/getty-aerial-shot-tone-prew-waterfall-in-satun-south-thailand-video-id620024362_6
studying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/studying/getty-students-doing-classwork-video-idrbrp02513_6
diving,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/diving/getty-lonely-duck-on-a-meadow-video-id826441174_3
giving,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/giving/yt-y53LPZtWkIc_2
standing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/standing/yt-uaNijWjTg_U_79
flicking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/flicking/yt-5EP692QJnos_421
stitching,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/stitching/yt-QpE5gz3bKcM_266
destroying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/destroying/yt-ncd98EAYJm8_71
snowing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/snowing/getty-fox-and-winter-video-id623932682_24
juggling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/juggling/vine-Juggling-in-winchester-MKU2dZeEVlK_2
ascending,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/ascending/yt-wtUuuZsDa5c_471
rinsing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/rinsing/yt-ROOQvSVPABM_642
adult+male+speaking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/adult+male+speaking/getty-businessmen-in-discussion-on-office-stairs-video-id638467600_3
celebrating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/celebrating/getty-group-of-people-wearing-monochromatic-colors-and-celebrating-video-id453650219_3
cooking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/cooking/yt-cjnSL05ztYM_111
adult+female+speaking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/adult+female+speaking/yt-clrJHANwwLY_4
sawing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/sawing/yt-1tRieHjQTxU_266
writing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/writing/giphy-l2SpYMIjGApGMfAAM_3
covering,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/covering/giphy-ojbSksRnoGqJy_0
roaring,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/roaring/yt-gXkGSc6d0xQ_43
autographing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/autographing/yt-yPIBLtu44Po_47
building,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/building/getty-construction-site-new-york-city-new-york-usa-video-id127821184_2
running,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/running/yt-u7YAXBEPqyM_142
squatting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/squatting/yt-t3KPtq_9a2M_16
skating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/skating/yt-gz7dKW2kjTo_168
balancing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/balancing/getty-lady-does-yoga-meditation-side-view-zoom-in-video-id622336690_2
spraying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/spraying/getty-crop-duster-circles-high-above-farmlands-where-it-descends-and-sprays-video-id643935741_13
submerging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/submerging/yt-dLVgdUhktN4_137
emptying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/emptying/getty-smiling-young-girl-watching-mother-pour-syrup-over-pancakes-at-video-id607025454_1
boxing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/boxing/yt-Bh4ZA7_2pk8_775
raining,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/raining/kvtkEHIFTvs_67
plunging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/plunging/getty-huge-waves-hitting-the-swim-platform-on-the-beach-video-id647437178_10
diving,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/diving/yt-lQRmFwGGv_s_5
repairing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/repairing/getty-carpenter-checking-up-his-creation-video-id528643980_9
adult+male+singing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/adult+male+singing/18EOQmZ2a1E_35
descending,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/descending/yt-bUEPDOcpwcA_35
pulling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/pulling/yt-9ljfzhnmZeo_824
surfing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/surfing/giphy-NwpBMOsq0BE3e_0
throwing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/throwing/yt-2i8EKm64r9w_7
tapping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/tapping/yt-7NoUwO2FlQU_102
feeding,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/feeding/giphy-T001RkYBngSk0_1
spreading,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/spreading/getty-fire-and-plumes-of-smoke-exploding-from-detonation-of-nuclear-weapons-video-idmr_00078687_5
slicing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/slicing/getty-macro-chopping-broccoli-video-id164096938_9
gambling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/gambling/getty-gambling-video-idrkt112-013_1
sneezing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/sneezing/giphy-bT2ObacNi6ZWM_0
rocking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/rocking/yt-_TtaSvxOJKg_16
crying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/crying/getty-asian-baby-cry-video-id805355932_4
discussing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/discussing/yt-5_knRwioioM_99
packing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/packing/yt-2_bSgNqN6NY_312
trimming,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/trimming/getty-man-trimming-grass-video-id473209651_4
swinging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/swinging/getty-empty-swing-video-id613187470_8
imitating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/imitating/getty-two-girls-dressed-as-native-americans-painting-their-faces-video-id110409179_8
grinning,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/grinning/getty-business-people-meeting-to-discuss-financial-information-in-corporate-video-id484371165_36
hunting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/hunting/giphy-DadzciiHo50v6_22
whistling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/whistling/yt-kzHUiigepYc_4
barbecuing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/barbecuing/getty-barbecue-video-id473009893_1
plunging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/plunging/yt-URq3LWGiylU_53
eating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/eating/-2yAWQVPKJo_184
covering,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/covering/getty-moving-cloud-at-sunset-time-lapse-4k-video-id653288394_3
dripping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/dripping/getty-droplets-from-leaf-tip-video-idabfuwd142_8
operating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/operating/getty-surgical-procedure-video-id452649207_11
pointing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/pointing/giphy-3o7TKxIuqrVMHBfOSI_1
jumping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/jumping/yt--PX_7ME0Zv4_43
crying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/crying/getty-the-aspiring-fashion-designer-islan-nettles-was-out-with-another-video-id544380550_12
stitching,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/stitching/getty-circumcision-surgery-video-id618595563_21
splashing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/splashing/flickr-2-8-3-3-3-8-9-3-2628333893_6
swinging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/swinging/vine-Swinging-with-Thatcher-on-our-first-walk-to-the-neighborhood-park-June-14-2014-MIZeh3vvXgA_1
sanding,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/sanding/yt--aDTqXH0gcw_282
licking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/licking/giphy-S9ds4r8bfySOc_4
submerging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/submerging/yt-570VJqVzYrw_7
grinning,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/grinning/3YoYYVYy_yo_15
submerging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/submerging/getty-men-jumping-from-water-ski-and-attempting-to-jump-onto-tow-tube-but-video-id176025128_16
rolling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/rolling/getty-dirty-funny-dog-video-id695004362_1
picking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/picking/getty-father-and-son-standing-in-farm-video-id459779343_2
walking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/walking/yt-o32Diz-zf6g_48
gripping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/gripping/yt-xXZn_GK0eTM_7
spilling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/spilling/getty-aerial-view-of-newly-built-owen-falls-dam-on-lake-victoria-in-uganda-video-id537653346_8
welding,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/welding/getty-young-woman-welding-a-pipe-in-a-factory-video-id699743844_4
walking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/walking/giphy-G4y3sFWDOwuhG_0
removing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/removing/getty-sunset-oil-pump-in-countryside-video-id542844792_25
snowing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/snowing/yt-vh6vhzVT3Zc_44
walking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/walking/getty-tilt-up-reveal-of-a-girls-boots-to-her-full-body-walking-down-the-video-id158729999_1
yawning,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/yawning/giphy-mexXx5mTwmcmc_0
dripping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/dripping/getty-close-up-of-honey-flowing-video-id185785029_11
pulling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/pulling/getty-oxen-pulls-man-on-wooden-platform-through-paddy-field-to-level-out-video-id585841645_5
taping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/taping/yt-HdBD268zoY0_50
tickling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/tickling/vine-MHKtbhHtdJ3_1
digging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/digging/yt-zh0btl-Kqc8_45
twisting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/twisting/getty-young-man-jumping-in-slow-motion-while-making-a-twist-video-id142888530_11
landing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/landing/yt-qZYv9AjBLIw_42
marrying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/marrying/getty-in-basutoland-king-george-iv-and-wife-queen-elizabeth-ride-in-in-video-id534142500_2
floating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/floating/getty-loy-kratong-festival-and-lantern-lift-off-video-id623729648_10
watering,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/watering/flickr-2-5-9-0-9-8-3-8-6125909838_18
giving,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/giving/getty-santa-handing-out-christmas-gifts-on-december-17-1992-in-chicago-video-id450350947_6
spraying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/spraying/getty-big-wave-video-id500121493_21
studying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/studying/getty-chinese-mother-teaching-her-son-how-to-play-piano-video-id473612842_5
adult+male+singing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/adult+male+singing/yt-5aPzccvGv8U_1102
socializing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/socializing/getty-two-businessmen-having-meeting-in-restaurant-server-bringing-food-to-video-id458512884_4
destroying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/destroying/giphy-xT5LMzY6E04vQoCugo_0
drumming,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drumming/yt-JOMVxNcgbYk_122
giving,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/giving/yt-MS9V0S0Tsz0_537
imitating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/imitating/vine-h6XjhLBvOi6_2
tickling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/tickling/yt-eZ3woxBS1O8_56
imitating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/imitating/yt-2-LIMeKIMrA_7
officiating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/officiating/yt-n3ri_Yw76Pw_32
constructing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/constructing/getty-cooking-video-id638580056_65
drawing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drawing/yt-iL2snWORRwE_40
clearing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/clearing/yt-9dR2ady1OBA_91
flooding,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/flooding/giphy-jHlCQM1IlF3lm_6
drying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drying/getty-one-young-woman-is-using-a-hair-drier-video-idffm070325m026-2_9
peeling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/peeling/yt-i24TR6eblEg_35
rafting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/rafting/yt-IPiZqn4dG9k_9
running,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/running/giphy-p96temLg8ab7O_0
reading,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/reading/giphy-3o6Mb5Fk9Yx1uDUM2k_0
steering,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/steering/getty-driving-mountain-road-in-early-springrear-view-video-id487767345_11
autographing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/autographing/getty-nicole-kidman-at-the-golden-globes-2004-at-beverly-hilton-hotel-in-video-idwi_9264230_27
stacking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/stacking/getty-special-moments-video-id640525190_10
adult+male+singing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/adult+male+singing/yt-fV8vB1BB2qc_58
taping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/taping/yt-jLx-bSl1psM_568
discussing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/discussing/getty-best-friends-video-id163246616_1
plunging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/plunging/getty-large-wave-rolls-in-and-crashes-over-camera-bubbles-rise-past-camera-video-id1B02036_0003_7
handwriting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/handwriting/yt-cynkmkhPNvY_49
feeding,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/feeding/getty-bald-female-vasa-parrot-being-fed-by-male-during-courtship-madagascar-video-id684056309_13
tattooing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/tattooing/xQKurm37b4g_1547
dripping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/dripping/yt-SZ6RFY6TnB8_182
child+speaking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/child+speaking/yt-dJANlck_TwE_375
hunting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/hunting/getty-white-tailed-eagle-feeding-on-carcas-video-id692471871_14
carrying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/carrying/giphy-3oKIPwxf5Sby43fZAs_1
swinging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/swinging/yt-j01kPkCvvMo_113
